2026-07-19 13:28:02.21 | WARNING | PARSER   | [LaptopRemont] 0 items found in 34ms! (CSS selector 'a[href^='https://www.laptopremont.com/']' broken or empty query)
2026-07-19 13:28:03.09 | WARNING | PARSER   | [OLX] 0 items found in 5ms! (CSS selector 'a.css-z3gu2d' broken or empty query)
2026-07-19 13:28:03.10 | SUCCESS | API      | SEARCH COMPLETED -> Found 66 items across all sites in 2.14s
2026-07-19 13:28:06.21 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-19 13:28:06.86 | INFO    | PARSER   | [Smenime] Exracted 4 items in 25ms
2026-07-19 13:28:06.89 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 233ms
2026-07-19 13:28:07.14 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 164ms
2026-07-19 13:28:07.98 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 539ms
2026-07-19 13:28:08.72 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 242ms
2026-07-19 13:28:08.99 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 1004ms
2026-07-19 13:28:33.03 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-19 13:28:33.63 | INFO    | PARSER   | [Smenime] Exracted 4 items in 22ms
2026-07-19 13:28:33.71 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 233ms
2026-07-19 13:28:34.14 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 171ms
2026-07-19 13:28:34.53 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 205ms
2026-07-19 13:28:34.71 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 571ms
2026-07-19 13:28:35.47 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 751ms
2026-07-19 13:28:49.49 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:28:50.37 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:28:51.05 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:28:51.96 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:28:56.77 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 13:28:57.60 | INFO    | PARSER   | [Smenime] Exracted 4 items in 30ms
2026-07-19 13:28:58.19 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 170ms
2026-07-19 13:28:58.49 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 303ms
2026-07-19 13:28:59.01 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 341ms
2026-07-19 13:28:59.10 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 724ms
2026-07-19 13:29:00.09 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 944ms
2026-07-19 13:39:50.22 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone'
2026-07-19 13:39:51.49 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 269ms
2026-07-19 13:39:51.54 | INFO    | PARSER   | [Smenime] Exracted 35 items in 45ms
2026-07-19 13:39:51.71 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 125ms
2026-07-19 13:39:52.37 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 597ms
2026-07-19 13:39:54.17 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 704ms
2026-07-19 13:39:57.35 | INFO    | PARSER   | [Cellphone BG] Exracted 20 items in 509ms
2026-07-19 13:41:54.06 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone'
2026-07-19 13:41:54.69 | INFO    | PARSER   | [Smenime] Exracted 35 items in 38ms
2026-07-19 13:41:55.10 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 190ms
2026-07-19 13:41:55.58 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 176ms
2026-07-19 13:41:56.07 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 477ms
2026-07-19 13:41:56.94 | INFO    | PARSER   | [Cellphone BG] Exracted 20 items in 589ms
2026-07-19 13:41:57.30 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 1229ms
2026-07-19 13:42:44.80 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:42:45.52 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:44:58.35 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:45:42.40 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:45:43.18 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:53:01.11 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:53:09.91 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 13:53:10.46 | INFO    | PARSER   | [Smenime] Exracted 4 items in 29ms
2026-07-19 13:53:10.94 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 172ms
2026-07-19 13:53:11.54 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 317ms
2026-07-19 13:53:11.57 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 223ms
2026-07-19 13:53:12.01 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 432ms
2026-07-19 13:53:13.83 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 733ms
2026-07-19 13:54:38.28 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:54:38.96 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:54:39.79 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:54:44.09 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 13:54:44.73 | INFO    | PARSER   | [Smenime] Exracted 4 items in 45ms
2026-07-19 13:54:44.80 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 275ms
2026-07-19 13:54:45.29 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 201ms
2026-07-19 13:54:45.74 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 244ms
2026-07-19 13:54:45.90 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 605ms
2026-07-19 13:54:46.73 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 696ms
